doi,title,authors,journal,year,start_sampling_year,end_sampling_year,sampling_duration,sampling_site,sampling_latitude,sampling_longitude,sampling_city,sampling_region,sampling_country,sampling_continent,island,min_ias_abundance,max_ias_abundance,avg_ias_abundance,ias_abundance_unit,study_area,area_km2,ind_per_km2,experimental,habitat,kingdom,phylum,class,Group_for_score,species,doi_clean
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Concepcion,-36.828194,-73.051369,Concepcion,,Chile,South America,,22,22,22,N,,0.08,275,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Florida,-36.816667,-72.666667,Florida,,Chile,South America,,18,18,18,N,,0.08,225,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Nonguen NR,-36.892778,-72.977222,Nongulen NR,,Chile,South America,,25,25,25,N,,0.08,312.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Puerto Aysen,-45.4025,-72.69,Puerto Aysen,,Chile,South America,,4,4,4,N,,0.08,50,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Puerto Chacabuco,-45.466667,-72.816667,Puerto Chacabuco,,Chile,South America,,3,3,3,N,,0.08,37.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Punta Arenas,-53.166667,-70.933333,Punta Arenas,,Chile,South America,,5,5,5,N,,0.08,62.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1371/journal.pone.0110666,"Spatial Segregation between Invasive and Native Commensal Rodents in an Urban Environment: A Case Study in Niamey, Niger",Madougou Garba; Ambroise Dalecky; Ibrahima Kadaoure; Mamadou Kane; Karmadine Hima; Sophie Veran; Sama Gagare; Philippe Gauthier; Caroline Tatard; Jean-Pierre Rossi; Gauthier Dobigny,PLoS ONE,2014,2009,2011,2,Niamey (multiple localities),13.513611,2.108889,Niamey,,Niger,Africa,no,161,178,169.5,N,,297.46,0.569824514,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1371/journal.pone.0110666
10.1371/journal.pone.0156180,Nest Predation by Commensal Rodents in Urban Bushland Remnants,Helen M. Smith; Chris R. Dickman; Peter B. Banks,PLOS ONE,2016,2011,2011,0,Sydney Harbour National Park (SHNP),-33.81752658,151.2897211,Sydney,New South Wales,Australia,Australia,no,17,40,28.5,ind/ha,,,2850,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1371/journal.pone.0156180
10.1890/06-1701.1,INTERFERENCE COMPETITION BETWEEN INTRODUCED BLACK RATS AND ENDEMIC GALÃƒÂPAGOS RICE RATS,Donna B. Harris; David W. Macdonald,Ecology,2007,2002,2003,1,"La Bomba, north-central coast of Santiago Island",-0.18758614,-90.700743,,GalÃƒÂ¡pagos Islands,Ecuador,South America,yes,397,397,397,N,,585,0.678632479,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1890/06-1701.1
10.20417/nzjecol.41.9,"Invasive rodents, an overlooked threat for skinks in a tropical island hotspot of biodiversity",NA NA; Martin Thibault; Fabrice Brescia; HervÃƒÂ© Jourdan; Eric Vidal,New Zealand Journal of Ecology,2017,2013,2014,1,Tiebaghi,-20.46375832,164.2156803,,Northern Province,New Caledonia,Oceania,yes,63,63,63,N,,,,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.20417/nzjecol.41.9
10.20417/nzjecol.41.9,"Invasive rodents, an overlooked threat for skinks in a tropical island hotspot of biodiversity",NA NA; Martin Thibault; Fabrice Brescia; HervÃƒÂ© Jourdan; Eric Vidal,New Zealand Journal of Ecology,2017,2013,2014,1,Goro,-22.28287866,167.0056578,Goro,Southern Province,New Caledonia,Oceania,yes,50,50,50,N,,,,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.20417/nzjecol.41.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
